centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
KF863835.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb36,hb36,16S ribosomal RNA,1459,"Bacillus sp. hb36 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863836.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb37,hb37,16S ribosomal RNA,1434,"Bacillus sp. hb37 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863838.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb39(2014),hb39,16S ribosomal RNA,1451,"Bacillus sp. hb39(2014) 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863839.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb40,hb40,16S ribosomal RNA,1455,"Bacillus sp. hb40 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863840.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb41,hb41,16S ribosomal RNA,1457,"Bacillus sp. hb41 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863841.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb42,hb42,16S ribosomal RNA,1451,"Bacillus sp. hb42 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863842.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb43,hb43,16S ribosomal RNA,1458,"Bacillus sp. hb43 16S ribosomal RNA gene, partial sequence",4,"DQ339666.1: Lysinibacillus fusiformis, KF863853.1: Bacillus sp. hb56, KF863855.1: Bacillus sp. hb60",Isolated from honey.
KF863843.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb45,hb45,16S ribosomal RNA,1457,"Bacillus sp. hb45 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863844.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb46,hb46,16S ribosomal RNA,1453,"Bacillus sp. hb46 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863846.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb48,hb48,16S ribosomal RNA,1454,"Bacillus sp. hb48 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863848.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb51,hb51,16S ribosomal RNA,1456,"Bacillus sp. hb51 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863849.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb52,hb52,16S ribosomal RNA,1458,"Bacillus sp. hb52 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863850.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb53,hb53,16S ribosomal RNA,1455,"Bacillus sp. hb53 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863851.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb54,hb54,16S ribosomal RNA,1461,"Bacillus sp. hb54 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863854.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb58,hb58,16S ribosomal RNA,1458,"Bacillus sp. hb58 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863856.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb61,hb61,16S ribosomal RNA,1448,"Bacillus sp. hb61 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863857.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb62,hb62,16S ribosomal RNA,1461,"Bacillus sp. hb62 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863858.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb63,hb63,16S ribosomal RNA,1454,"Bacillus sp. hb63 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863860.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb65,hb65,16S ribosomal RNA,1447,"Bacillus sp. hb65 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863861.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb66,hb66,16S ribosomal RNA,1448,"Bacillus sp. hb66 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863862.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb67,hb67,16S ribosomal RNA,1457,"Bacillus sp. hb67 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863863.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb68,hb68,16S ribosomal RNA,1446,"Bacillus sp. hb68 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863864.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb69,hb69,16S ribosomal RNA,1447,"Bacillus sp. hb69 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863865.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb71,hb71,16S ribosomal RNA,1451,"Bacillus sp. hb71 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863869.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb78,hb78,16S ribosomal RNA,1451,"Bacillus sp. hb78 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863871.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb81,hb81,16S ribosomal RNA,1439,"Bacillus sp. hb81 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863872.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb83,hb83,16S ribosomal RNA,1451,"Bacillus sp. hb83 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863875.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb86,hb86,16S ribosomal RNA,1446,"Bacillus sp. hb86 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863877.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb88,hb88,16S ribosomal RNA,1436,"Bacillus sp. hb88 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863878.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb89,hb89,16S ribosomal RNA,1441,"Bacillus sp. hb89 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863809.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb9,hb9,16S ribosomal RNA,1452,"Bacillus sp. hb9 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863879.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb90,hb90,16S ribosomal RNA,1455,"Bacillus sp. hb90 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863882.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb93,hb93,16S ribosomal RNA,1419,"Bacillus sp. hb93 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF863883.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. hb94,hb94,16S ribosomal RNA,1440,"Bacillus sp. hb94 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692180.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. ML582,ML582,16S ribosomal RNA,1485,"Bacillus sp. ML582 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
JF742976.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. U-5,U-5,16S ribosomal RNA,1283,"Bacillus sp. U-5 16S ribosomal RNA gene, partial sequence",2,KF600385.1: Bacillus licheniformis,Isolated from honey.
KF600421.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sporothermodurans,B3_2YO2,16S ribosomal RNA,1305,"Bacillus sporothermodurans strain B3_2YO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KC692170.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,ML101B,16S ribosomal RNA,1490,"Bacillus subtilis strain ML101B 16S ribosomal RNA gene, partial sequence",11,"JF742979.1: Bacillus sp. U-8, KF710021.1: Bacillus subtilis, KF710024.1: Bacillus amyloliquefaciens, KF710033.1: Bacillus amyloliquefaciens, KF863845.2: Bacillus sp. hb47, KF914405.1: Bacillus amyloliquefaciens, KF914413.1: Bacillus subtilis, KJ638097.1: Bacillus subtilis, KJ638114.1: Bacillus subtilis, KJ746458.1: Bacillus amyloliquefaciens",Isolated from honey.
KC692194.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,ML102B,16S ribosomal RNA,1486,"Bacillus subtilis strain ML102B 16S ribosomal RNA gene, partial sequence",2,KC692182.1: Bacillus subtilis,Isolated from honey.
KC692190.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,ML474,16S ribosomal RNA,1485,"Bacillus subtilis strain ML474 16S ribosomal RNA gene, partial sequence",2,KF863823.1: Bacillus sp. hb23,Isolated from honey.
JF461094.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis,BUMT19,16S ribosomal RNA,1301,"Bacillus thuringiensis strain BUMT19 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee gut.
KC692184.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis,ML233,16S ribosomal RNA,1488,"Bacillus thuringiensis strain ML233 16S ribosomal RNA gene, partial sequence",2,KF863852.1: Bacillus sp. hb55,Isolated from honey.
DQ339667.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus fusiformis,BRL02-37,16S ribosomal RNA,861,"Bacillus fusiformis isolate BRL02-37 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339676.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus fusiformis,BRL02-45,16S ribosomal RNA,904,"Bacillus fusiformis isolate BRL02-45 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339678.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus fusiformis,BRL02-52,16S ribosomal RNA,873,"Bacillus fusiformis isolate BRL02-52 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
DQ339641.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus fusiformis,BRL02-6A,16S ribosomal RNA,831,"Bacillus fusiformis isolate BRL02-6A 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera.
JF461090.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus xylanilyticus,BUME19,16S ribosomal RNA,1393,"Lysinibacillus xylanilyticus strain BUME19 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee gut.
KF600569.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oceanobacillus oncorhynchi,3447CO2,16S ribosomal RNA,1287,"Oceanobacillus oncorhynchi strain 3447CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
HM046577.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured Bacillus sp.,Not Available,16S ribosomal RNA,1513,"Uncultured Bacillus sp. clone AMW_B7 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis cerana indica midgut.
KF600307.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,Aneurinibacillus aneurinilyticus,G7_2_4BCO2,16S ribosomal RNA,1322,"Aneurinibacillus aneurinilyticus strain G7_2_4BCO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from hindgut of Apis mellifera.
KP177514.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus borstelensis,RC,16S ribosomal RNA,1474,"Brevibacillus borstelensis strain RC 16S ribosomal RNA gene, partial sequence",2,AJ971855.1: Brevibacillus sp. Am 18,Isolated from honey.
DQ339637.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus brevis,BRL02-3A,16S ribosomal RNA,766,"Brevibacillus brevis isolate BRL02-3A 16S ribosomal RNA gene, partial sequence",1,,Brevibacillus sp. associated with Apis. Brevibacillus brevis
DQ339656.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus centrosporus,BRL02-24,16S ribosomal RNA,667,"Brevibacillus centrosporus isolate BRL02-24 16S ribosomal RNA gene, partial sequence",1,,Brevibacillus sp. associated with Apis. Brevibacillus centrosporus
DQ339677.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus centrosporus,BRL02-46,16S ribosomal RNA,908,"Brevibacillus centrosporus isolate BRL02-46 16S ribosomal RNA gene, partial sequence",1,,Brevibacillus sp. associated with Apis. Brevibacillus centrosporus
DQ339635.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus formosus,BRL02-1,16S ribosomal RNA,864,"Brevibacillus formosus isolate BRL02-1 16S ribosomal RNA gene, partial sequence",1,,Brevibacillus sp. associated with Apis.  Brevibacillus formosus
DQ339636.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus formosus,BRL02-2,16S ribosomal RNA,850,"Brevibacillus formosus isolate BRL02-2 16S ribosomal RNA gene, partial sequence",1,,Brevibacillus sp. associated with Apis.  Brevibacillus formosus
DQ339638.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus formosus,BRL02-3B,16S ribosomal RNA,860,"Brevibacillus formosus isolate BRL02-3B 16S ribosomal RNA gene, partial sequence",1,,Brevibacillus sp. associated with Apis. Brevibacillus formosus
CAGD01000058.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus,GI-9,16S ribosomal RNA,1272,"Brevibacillus laterosporus GI-9 WGS project CAGD00000000 data, contig BLGIcontig58, whole genome shotgun sequence",1,,Not isolated from honey bee.
NR_118957.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus,NCDO 1763,16S ribosomal RNA,1416,"Brevibacillus laterosporus strain NCDO 1763 16S ribosomal RNA gene, partial sequence",1,,Not isolated from honey bee.
DQ122932.2,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus laterosporus,Not Available,16S ribosomal RNA,1521,"Brevibacillus laterosporus 16S ribosomal RNA gene, partial sequence",10,"AB112720.1: Brevibacillus laterosporus, AB363742.1: Brevibacillus laterosporus, AY745239.1: Brevibacillus laterosporus, D16271.1: Brevibacillus laterosporus, DQ371288.2: Brevibacillus laterosporus, DQ371289.2: Brevibacillus laterosporus, NR_037005.1: Brevibacillus laterosporus, NR_112212.1: Brevibacillus laterosporus, NR_112727.1: Brevibacillus laterosporus",Not isolated from honey bee.
AJ320491.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus alvei,DSM 29,16S rRNA/16S ribosomal RNA,1527,"Paenibacillus alvei partial 16S rRNA gene, strain DSM 29T",10,"AB073200.1: Paenibacillus alvei, AB680069.1: Paenibacillus alvei, JF742969.1: Paenibacillus sp. EE-3, KF600376.1: Paenibacillus sp. 3281O2, KF600377.1: Paenibacillus sp. 3282O2, KF600388.1: Paenibacillus alvei, KF600389.1: Paenibacillus sp. 3298O2, KF600390.1: Paenibacillus sp. 3299O2, KF600394.1: Paenibacillus alvei",none
AB680578.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus alvei,NBRC 14175,16S ribosomal RNA,1479,"Paenibacillus alvei gene for 16S rRNA, partial sequence, strain: NBRC 14175",1,,none
KF600578.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus illinoisensis,3458CO2,16S ribosomal RNA,1270,"Paenibacillus illinoisensis strain 3458CO2 16S ribosomal RNA gene, partial sequence",2,KF600577.1: Paenibacillus illinoisensis,Isolated from bee bread of Apis mellifera.
NR_121744.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae,DSM 25430,16S ribosomal RNA,1543,"Paenibacillus larvae subsp. larvae 16S ribosomal RNA, complete sequence",6,"AY030079.1: Paenibacillus larvae, AY030080.1: Paenibacillus larvae, EF187246.1: Paenibacillus larvae, KJ741212.1: Paenibacillus sp. BO2, NR_115120.1: Paenibacillus larvae",none
KJ638111.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polymyxa,AMHSOQ302,16S ribosomal RNA,1260,"Paenibacillus polymyxa strain AMHSOQ302 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey stomach of Apis mellifera.
KC692186.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polymyxa,ML 227,16S ribosomal RNA,1492,"Paenibacillus polymyxa strain ML 227 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KF600535.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. 3396O2,3396O2,16S ribosomal RNA,1280,"Paenibacillus sp. 3396O2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KJ638103.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. AMHSOQ168,AMHSOQ168,16S ribosomal RNA,1177,"Paenibacillus sp. AMHSOQ168 16S ribosomal RNA gene, partial sequence",2,KJ638115.1: Paenibacillus naphthalenovorans,Isolated from honey stomach of Apis mellifera.
KJ741213.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. BO3,BO3,16S ribosomal RNA,1475,"Paenibacillus sp. BO3 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis cerana gut.
JN969368.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus arlettae,ac1p1-1TSA,16S ribosomal RNA,1496,"Staphylococcus arlettae strain ac1p1-1TSA 16S ribosomal RNA gene, partial sequence",1,,Isolated from midgut of Apis cerana indica
KF710013.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,ACHSBL22,16S ribosomal RNA,1306,"Staphylococcus epidermidis strain ACHSBL22 16S ribosomal RNA gene, partial sequence",14,"KF599022.1: Staphylococcus sp. 3031O2, KF599024.1: Staphylococcus sp. 3034O2, KF599025.1: Staphylococcus sp. 3035O2, KF599029.1: Staphylococcus sp. 3040O2, KF599030.1: Staphylococcus sp. 3041O2, KF599032.1: Staphylococcus sp. 3043O2, KF599035.1: Staphylococcus sp. 3047O2, KF599037.1: Staphylococcus epidermidis, KF600512.1: Staphylococcus sp. 3367O2, KF600514.1: Staphylococcus sp. 3369O2, KF600589.1: Staphylococcus epidermidis, KF710014.1: Staphylococcus epidermidis, KJ638092.1: Staphylococcus sp. AMHSBQ149",Isolated from honey stomach of Apis cerana.
KF600442.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,B7_2CO2,16S ribosomal RNA,1373,"Staphylococcus epidermidis strain B7_2CO2 16S ribosomal RNA gene, partial sequence",1,,Isolated from bee bread of Apis mellifera.
KF600444.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,B7_3CO2,16S ribosomal RNA,1373,"Staphylococcus epidermidis strain B7_3CO2 16S ribosomal RNA gene, partial sequence",3,"KF600430.1: Staphylococcus capitis, KJ638104.1: Staphylococcus epidermidis",Isolated from bee bread of Apis mellifera.
KF600575.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus sp. 3454CO2,3454CO2,16S ribosomal RNA,1270,"Staphylococcus sp. 3454CO2 16S ribosomal RNA gene, partial sequence",2,KF600533.1: Staphylococcus massiliensis,Isolated from bee bread of Apis mellifera.
AJ971853.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus sp. Am 14,Am 14,16S rRNA/16S ribosomal RNA,1419,"Staphylococcus sp. Am 14 partial 16S rRNA gene, isolate Am 14",2,KF710012.1: Staphylococcus warneri,Isolated from gut of Apis mellifera.
KF600409.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus sp. B3_1SCO2,B3_1SCO2,16S ribosomal RNA,1349,"Staphylococcus sp. B3_1SCO2 16S ribosomal RNA gene, partial sequence",18,"KF600129.1: Staphylococcus hominis, KF600373.1: Staphylococcus sp. 3277O2, KF600374.1: Staphylococcus sp. 3278O2, KF600493.1: Staphylococcus sp. 3348O2, KF600499.1: Staphylococcus sp. 3354O2, KF600500.1: Staphylococcus sp. 3355O2, KF600501.1: Staphylococcus sp. 3356O2, KF600502.1: Staphylococcus sp. 3357O2, KF600504.1: Staphylococcus sp. 3359O2, KF600506.1: Staphylococcus sp. 3361O2, KF600507.1: Staphylococcus sp. 3362O2, KF600508.1: Staphylococcus sp. 3363O2, KF600531.1: Staphylococcus hominis, KF600534.1: Staphylococcus sp. 3395O2, KF600538.1: Staphylococcus sp. 3400O2, KF600582.1: Staphylococcus sp. 3464CO2, KF600586.1: Staphylococcus sp. 3478CO2",Isolated from bee bread of Apis mellifera.
KJ741211.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus sp. R14,R14,16S ribosomal RNA,1475,"Staphylococcus sp. R14 16S ribosomal RNA gene, partial sequence",5,"JF742967.1: Staphylococcus sp. EE-1, KF600128.1: Staphylococcus hominis, KF600146.1: Staphylococcus hominis, KF710011.1: Staphylococcus warneri",Isolated from Apis cerana gut.
HM008723.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured Staphylococcus sp.,Not Available,16S ribosomal RNA,1512,"Uncultured Staphylococcus sp. clone AMW_C3 16S ribosomal RNA gene, partial sequence",3,"KF600372.1: Staphylococcus sp. 3276O2, KF600433.1: Staphylococcus sp. B7_1BCO2",Isolated from Apis mellifera mellifera.
KJ638100.1,Bacteria,undetermined,Firmicutes,Bacilli,Bacillales,undetermined,Exiguobacterium,Exiguobacterium acetylicum,AMHSOQ138,16S ribosomal RNA,1215,"Exiguobacterium acetylicum strain AMHSOQ138 16S ribosomal RNA gene, partial sequence",1,,Isolated from Apis mellifera honey stomach.
KC692208.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,ML607,16S ribosomal RNA,1487,"Aerococcus viridans strain ML607 16S ribosomal RNA gene, partial sequence",1,,Isolated from honey.
KC692183.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,ML240,16S ribosomal RNA,1501,"Enterococcus faecalis strain ML240 16S ribosomal RNA gene, partial sequence",20,"HM027645.1: Enterococcus faecalis, KF598917.1: Enterococcus faecalis, KF598918.1: Enterococcus faecalis, KF598919.1: Enterococcus faecalis, KF598920.1: Enterococcus faecalis, KF598921.1: Enterococcus faecalis, KF598922.1: Enterococcus faecalis, KF598930.1: Enterococcus faecalis, KF598934.1: Enterococcus faecalis, KF598935.1: Enterococcus faecalis, KF598938.1: Enterococcus faecalis, KF598939.1: Enterococcus faecalis, KF598992.1: Enterococcus faecalis, KF599004.1: Enterobacter sp. 3011O2, KF599006.1: Enterobacter sp. 3013O2, KF599046.1: Enterobacter sp. 3061O2, KF599051.1: Enterobacter sp. 3066O2, KF599076.1: Enterococcus faecalis, KF600564.1: Enterococcus faecalis",Isolated from honey.
KC692178.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,ML580,16S ribosomal RNA,1500,"Enterococcus faecalis strain ML580 16S ribosomal RNA gene, partial sequence",4,"KF598895.1: Enterococcus faecalis, KF598937.1: Enterobacter sp. 3125O2, KF599079.1: Enterococcus faecalis",Isolated from honey.
EU428011.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,C1,16S ribosomal RNA,1914,"Enterococcus faecium strain C1 16S ribosomal RNA gene, partial sequence",1,,Isolated from gut of Apis mellifera.
HM027646.1,Bacteria,undetermined,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus sp. Taj-KH 5,Taj-KH 5,16S ribosomal RNA,1105,"Enterococcus sp. Taj-KH 5 16S ribosomal RNA gene, partial sequence",4,"HM027647.1: Enterococcus sp. Taj-KS 29, HM027648.1: Enterococcus sp. Taj-TS 315, HM027649.1: Enterococcus sp. Taj-TS 329",Isolated from Apis dorsata honey.
